value	group
0.766708	Alpha
0.770676	Alpha
0.765784	Alpha
0.772961	Alpha
0.774492	Alpha
0.775608	Alpha
0.774516	Alpha
0.776878	Alpha
0.764415	Alpha
0.765648	Alpha
0.777178	Alpha
0.756184	Alpha
0.758403	Alpha
0.764119	Alpha
0.760232	Alpha
0.755084	Alpha
0.764466	Alpha
0.76409	Alpha
0.763839	Alpha
0.756358	Alpha
0.763322	Alpha
0.771383	Alpha
0.772586	Alpha
0.769328	Alpha
0.76156	Alpha
0.771862	Alpha
0.770161	Alpha
0.750566	Alpha
0.75782	Alpha
0.757057	Alpha
0.772971	Alpha
0.764346	Alpha
0.763337	Alpha
0.759283	Alpha
0.759329	Alpha
0.757122	Alpha
0.757901	Alpha
0.754737	Alpha
0.767435	Alpha
0.775426	Alpha
0.762136	Alpha
0.770964	Alpha
0.768129	Alpha
0.767479	Alpha
0.77084	Alpha
0.76266	Alpha
0.76184	Alpha
0.76609	Alpha
0.78008	Alpha
0.759446	Alpha
0.769829	Alpha
0.770164	Alpha
0.769885	Alpha
0.751194	Alpha
0.752064	Alpha
0.749272	Alpha
0.753063	Alpha
0.759835	Alpha
0.760586	Alpha
0.764892	Alpha
0.75819	Alpha
0.757145	Alpha
0.758373	Alpha
0.76465	Alpha
0.762171	Alpha
0.782099	Alpha
0.778481	Alpha
0.767988	Alpha
0.76685	Alpha
0.77115	Alpha
0.753321	Alpha
0.751801	Alpha
0.752095	Alpha
0.761558	Alpha
0.768512	Alpha
0.76676	Alpha
0.760493	Alpha
0.767517	Alpha
0.769122	Alpha
0.767201	Alpha
0.769093	Alpha
0.755365	Alpha
0.764611	Alpha
0.780253	Alpha
0.770787	Alpha
0.771792	Alpha
0.774787	Alpha
0.763112	Alpha
0.757293	Alpha
0.775753	Alpha
0.767015	Alpha
0.767764	Alpha
0.767202	Alpha
0.765057	Alpha
0.757483	Alpha
0.75297	Alpha
0.759569	Alpha
0.772116	Alpha
0.769315	Alpha
0.772515	Alpha
0.780455	Alpha
0.782021	Alpha
0.782005	Alpha
0.780607	Alpha
0.780782	Alpha
0.759189	Alpha
0.759761	Alpha
0.772254	Alpha
0.772958	Alpha
0.773822	Alpha
0.773317	Alpha
0.769902	Alpha
0.767306	Alpha
0.778258	Alpha
0.759764	Alpha
0.763125	Alpha
0.763935	Alpha
0.762681	Alpha
0.768763	Alpha
0.770328	Alpha
0.776364	Alpha
0.776814	Alpha
0.759223	Alpha
0.758941	Alpha
0.768505	Alpha
0.771092	Alpha
0.78296	Alpha
